"trackID","input","filtered","denoisedF","denoisedR","merged","nonchim","assignes","badassignes","PRM_TRUNCQ","PRM_RMPHIX","PRM_MAXEE","Trunclen"
"track136","140892","125536","124385","124129","6138","6073","12","90","Truncq_2","rmphix_FALSE","MaxEE_3-3","TruncLen_230-210"
"track137","140892","125536","124385","124129","6138","6073","12","90","Truncq_4","rmphix_FALSE","MaxEE_3-3","TruncLen_230-210"
"track138","140892","125536","124385","124129","6138","6073","11","91","Truncq_7","rmphix_FALSE","MaxEE_3-3","TruncLen_230-210"
"track139","140892","125536","124385","124129","6138","6073","11","91","Truncq_11","rmphix_FALSE","MaxEE_3-3","TruncLen_230-210"
"track140","140892","13656","13429","13523","832","832","0","27","Truncq_15","rmphix_FALSE","MaxEE_3-3","TruncLen_230-210"
"track141","140892","129979","128863","128439","6428","6360","4","96","Truncq_2","rmphix_FALSE","MaxEE_3-3","TruncLen_210-190"
"track142","140892","129979","128863","128439","6428","6360","3","97","Truncq_4","rmphix_FALSE","MaxEE_3-3","TruncLen_210-190"
"track143","140892","129979","128863","128439","6428","6360","3","97","Truncq_7","rmphix_FALSE","MaxEE_3-3","TruncLen_210-190"
"track144","140892","129979","128863","128439","6428","6360","4","96","Truncq_11","rmphix_FALSE","MaxEE_3-3","TruncLen_210-190"
"track145","140892","24401","24112","24164","1803","1803","0","35","Truncq_15","rmphix_FALSE","MaxEE_3-3","TruncLen_210-190"
"track146","140892","135999","134622","133879","5856","5784","5","79","Truncq_2","rmphix_FALSE","MaxEE_3-3","TruncLen_180-160"
"track147","140892","135999","134622","133879","5856","5784","4","80","Truncq_4","rmphix_FALSE","MaxEE_3-3","TruncLen_180-160"
"track148","140892","135999","134622","133879","5856","5784","4","80","Truncq_7","rmphix_FALSE","MaxEE_3-3","TruncLen_180-160"
"track149","140892","135999","134622","133879","5856","5784","4","80","Truncq_11","rmphix_FALSE","MaxEE_3-3","TruncLen_180-160"
"track150","140892","39171","38850","38878","2489","2489","0","32","Truncq_15","rmphix_FALSE","MaxEE_3-3","TruncLen_180-160"
"track151","140892","119376","118220","116647","86605","72609","123","84","Truncq_2","rmphix_TRUE","MaxEE_2-5","TruncLen_0-0"
"track152","140892","119376","118220","116647","86605","72609","123","84","Truncq_4","rmphix_TRUE","MaxEE_2-5","TruncLen_0-0"
"track153","140892","119376","118220","116647","86605","72609","123","84","Truncq_7","rmphix_TRUE","MaxEE_2-5","TruncLen_0-0"
"track154","140892","119376","118220","116647","86605","72609","123","84","Truncq_11","rmphix_TRUE","MaxEE_2-5","TruncLen_0-0"
"track155","140892","129060","127879","128940","4324","4324","2","20","Truncq_15","rmphix_TRUE","MaxEE_2-5","TruncLen_0-0"
"track156","140892","48210","47432","46574","42454","34290","160","80","Truncq_2","rmphix_TRUE","MaxEE_2-5","TruncLen_250-230"
"track157","140892","48210","47432","46574","42454","34290","159","81","Truncq_4","rmphix_TRUE","MaxEE_2-5","TruncLen_250-230"
"track158","140892","48210","47432","46574","42454","34290","159","81","Truncq_7","rmphix_TRUE","MaxEE_2-5","TruncLen_250-230"
"track159","140892","48210","47432","46574","42454","34290","161","79","Truncq_11","rmphix_TRUE","MaxEE_2-5","TruncLen_250-230"
"track160","140892","2767","2679","2683","2447","2336","47","10","Truncq_15","rmphix_TRUE","MaxEE_2-5","TruncLen_250-230"
"track161","140892","123723","122805","121404","5924","5862","12","89","Truncq_2","rmphix_TRUE","MaxEE_2-5","TruncLen_230-210"
"track162","140892","123723","122805","121404","5924","5862","12","89","Truncq_4","rmphix_TRUE","MaxEE_2-5","TruncLen_230-210"
"track163","140892","123723","122805","121404","5924","5862","12","89","Truncq_7","rmphix_TRUE","MaxEE_2-5","TruncLen_230-210"
"track164","140892","123723","122805","121404","5924","5862","13","88","Truncq_11","rmphix_TRUE","MaxEE_2-5","TruncLen_230-210"
